Configuración,Neuronas ocultas,tasa de aprendizaje,unbalanced data,missing data,split ration,Tiempo de entrenamiento,Error sobre entrenamiento,Error sobre prueba,Numero de iteraciones,Correctos en entrenamiento,Tamaño entrenamiento,Correctos en prueba,Tamaño prueba,positivos en entrenamiento,positivos en prueba
80,8,0.2,,zero,0.5,60.03484579,0.25480545731524995,0.24691775861873036,315,306,559,313,558,248,245
81,8,0.2,,zero,0.7,60.245161357,0.253603974860664,0.24277276334799247,225,426,782,192,335,345,148
82,8,0.2,,mean,0.3,60.053061509,0.24962778002984304,0.247098518994473,521,186,335,438,782,149,344
83,8,0.2,,mean,0.5,60.132494476,0.24735547207135758,0.2485606390932998,314,317,559,304,558,237,256
84,8,0.2,,mean,0.7,60.018643106,0.2528246628209097,0.2490723790981568,224,429,782,178,335,336,157
85,8,0.3,,zero,0.3,60.072352763,0.25000000000000083,0.24939096393441199,524,151,335,342,782,151,342
86,8,0.3,,zero,0.5,60.069183633,0.25060305049954323,0.2571208922225582,316,302,559,309,558,244,249
87,8,0.3,,zero,0.7,60.21591611,0.24905277749224608,0.25000000000103617,223,341,782,152,335,341,152
88,8,0.3,,mean,0.3,60.054625061,0.256594676161886,0.261535234815797,518,177,335,436,782,147,346
89,8,0.3,,mean,0.5,60.181251318,0.2532746228388196,0.2518717482880373,313,302,559,321,558,254,239
90,8,0.3,,mean,0.7,60.025746861,0.2622495285728206,0.27074696110009194,224,403,782,187,335,345,148
91,9,0.01,,zero,0.3,60.12446843,0.24199549144768837,0.2513544393481411,468,200,335,426,782,135,358
92,9,0.01,,zero,0.5,60.192221006,0.2443480524213769,0.25186706027203504,278,322,559,302,558,237,256
93,9,0.01,,zero,0.7,60.126413194,0.24351757493707518,0.2557049726099025,198,455,782,170,335,328,165
94,9,0.01,,mean,0.3,60.104417178,0.24913303133181736,0.2464389498732194,465,181,335,443,782,154,339
95,9,0.01,,mean,0.5,60.208273265,0.24895157875506813,0.24463018183901003,279,300,559,325,558,260,233
96,9,0.01,,mean,0.7,60.064737678,0.2503970751767569,0.24697732678084283,199,425,782,197,335,356,137
97,9,0.05,,zero,0.3,60.01859246,0.24501137961073244,0.24781787160219448,470,192,335,435,782,144,349
98,9,0.05,,zero,0.5,60.052805608,0.2444881294957097,0.2521168578264173,282,329,559,297,558,231,262
99,9,0.05,,zero,0.7,60.066055504,0.24854185278264787,0.24718019015161044,201,425,782,185,335,343,150
100,9,0.05,,mean,0.3,60.068168427,0.24581180647020878,0.2509429535178865,472,194,335,430,782,140,353
101,9,0.05,,mean,0.5,60.173421785,0.2508451970107418,0.24576983488878504,280,298,559,319,558,254,239
102,9,0.05,,mean,0.7,60.057359301,0.2466370285248003,0.2442039878678504,198,440,782,192,335,348,145
103,9,0.1,,zero,0.3,60.047918462,0.24650452635558134,0.2605708474584324,471,188,335,436,782,142,351
104,9,0.1,,zero,0.5,60.094670595,0.25084370638342934,0.2453743967051606,283,295,559,317,558,252,241
105,9,0.1,,zero,0.7,60.297076598,0.24992584944640653,0.25251641855579887,198,428,782,187,335,345,148
106,9,0.1,,mean,0.3,60.099982785,0.2440391139575701,0.24708038783594727,464,196,335,434,782,143,350
107,9,0.1,,mean,0.5,60.098263261,0.24284186738903582,0.2501198697280191,279,324,559,307,558,240,253
108,9,0.1,,mean,0.7,60.0867053,0.250557649665226,0.2487662103858281,200,421,782,187,335,345,148
109,9,0.2,,zero,0.3,60.012158791,0.25539803520534027,0.24842667163432414,466,173,335,434,782,145,348
110,9,0.2,,zero,0.5,60.182156554,0.26362536076056403,0.25746340441225746,280,279,559,230,558,263,230
111,9,0.2,,zero,0.7,60.037656477,0.25186272067763443,0.2514322876602346,198,422,782,148,335,345,148
112,9,0.2,,mean,0.3,60.017350856,0.2533617898062365,0.242325890968529,469,174,335,459,782,168,325
113,9,0.2,,mean,0.5,60.000448778,0.24995586881610413,0.24790116796110748,281,308,559,314,558,245,248
114,9,0.2,,mean,0.7,60.232447377,0.25756688647541404,0.2475506461213061,201,415,782,187,335,345,148
115,9,0.3,,zero,0.3,60.110132947,0.2613044994332242,0.25276091625956126,475,160,335,331,782,162,331
116,9,0.3,,zero,0.5,60.208367242,0.25582910066313225,0.2490686916757888,280,286,559,316,558,251,242
117,9,0.3,,zero,0.7,60.246334579,0.2534836918851742,0.24680932509014666,198,411,782,191,335,349,144
118,9,0.3,,mean,0.3,60.089661129,0.2531356771074253,0.24992406498037825,465,171,335,441,782,147,346
119,9,0.3,,mean,0.5,60.166370403,0.260673571557837,0.25067520642116614,280,289,559,324,558,257,236
120,9,0.3,,mean,0.7,60.229183604,0.2571640788720361,0.24944491381318837,201,427,782,186,335,342,151
121,10,0.01,,zero,0.3,60.116008228,0.2477329949424177,0.24682519649686685,413,186,335,438,782,149,344
122,10,0.01,,zero,0.5,60.226563897,0.2478992195706331,0.24674335402961833,253,314,559,312,558,245,248
123,10,0.01,,zero,0.7,60.083805208,0.24659476044862855,0.24723117516675247,179,440,782,185,335,342,151
124,10,0.01,,mean,0.3,60.057796741,0.24798879276738628,0.24654813543186418,420,185,335,439,782,150,343
125,10,0.01,,mean,0.5,60.201907384,0.2529201609593878,0.2553132363105486,254,283,559,220,558,270,223
126,10,0.01,,mean,0.7,60.303644312,0.24581753068710696,0.2417664556558017,180,435,782,198,335,354,139
127,10,0.05,,zero,0.3,60.109769776,0.25151449353482364,0.24850907096615626,417,174,335,442,782,153,340
128,10,0.05,,zero,0.5,60.114641792,0.24960365272457696,0.24523059337483016,251,298,559,318,558,253,240
129,10,0.05,,zero,0.7,60.112075659,0.2475760838915522,0.24736403342488483,179,433,782,185,335,342,151
130,10,0.05,,mean,0.3,60.110757634,0.24981141625615927,0.2537404534277356,425,176,335,333,782,160,333
131,10,0.05,,mean,0.5,60.233432069,0.2502205377925444,0.2457406784627811,255,304,559,316,558,251,242
132,10,0.05,,mean,0.7,60.101704428,0.24951217691774077,0.24722973892428993,181,425,782,188,335,346,147
133,10,0.1,,zero,0.3,60.131703863,0.24857912865359746,0.24703234325936982,421,179,335,436,782,145,348
134,10,0.1,,zero,0.5,60.073456771,0.2530254074087121,0.2727616161903341,248,291,559,236,558,257,236
135,10,0.1,,zero,0.7,60.307025119,0.24610170657852148,0.24984462870075225,179,445,782,181,335,338,155
136,10,0.1,,mean,0.3,60.116745688,0.25015641021231627,0.24868394874356906,424,180,335,438,782,149,344
137,10,0.1,,mean,0.5,60.088120426,0.2468547010006694,0.24190193810214433,252,301,559,326,558,254,239
138,10,0.1,,mean,0.7,60.194716785,0.2544604947709085,0.2449843639808674,180,408,782,196,335,354,139
139,10,0.2,,zero,0.3,60.053496354,0.25544229337095453,0.24772779294695296,424,178,335,446,782,151,342
140,10,0.2,,zero,0.5,60.086778616,0.24644905117866842,0.24948963411227568,252,305,559,311,558,245,248
141,10,0.2,,zero,0.7,60.060388165,0.25737573802853136,0.24817326428445818,179,401,782,183,335,341,152
142,10,0.2,,mean,0.3,60.082748214,0.24890278004608973,0.24447181162683318,418,191,335,452,782,147,346
143,10,0.2,,mean,0.5,60.123833005,0.258957881960748,0.24781386966033564,254,287,559,306,558,241,252
144,10,0.2,,mean,0.7,60.323780725,0.25139695652219884,0.2495533045064793,180,423,782,158,335,335,158
145,10,0.3,,zero,0.3,60.125360973,0.2549587967884701,0.25358502392550575,425,186,335,440,782,146,347
146,10,0.3,,zero,0.5,60.096798084,0.2541192777731099,0.30073516239916953,254,312,559,313,558,238,255
147,10,0.3,,zero,0.7,60.298913514,0.2635218155694679,0.24277644729292877,180,409,782,196,335,354,139
148,10,0.3,,mean,0.3,60.048069708,0.2659437782461431,0.24866793701326245,424,175,335,436,782,147,346
149,10,0.3,,mean,0.5,60.096151512,0.2530964151183419,0.25148592297872313,253,283,559,238,558,255,238
150,10,0.3,,mean,0.7,60.107928949,0.26332511529433855,0.24880714554338296,179,417,782,190,335,348,145
151,11,0.01,,zero,0.3,60.045670194,0.24762248310533264,0.24649805422171217,386,185,335,440,782,151,342
152,11,0.01,,zero,0.5,60.117069826,0.24910332977321847,0.2472027659240684,232,307,559,317,558,252,241
153,11,0.01,,zero,0.7,60.286662642,0.24745176402909339,0.24735512831857645,166,439,782,185,335,343,150
154,11,0.01,,mean,0.3,60.136715483,0.2412231906504245,0.250987657339233,383,200,335,424,782,135,358
155,11,0.01,,mean,0.5,60.247582775,0.24703618719878945,0.24650353616720316,228,312,559,312,558,247,246
156,11,0.01,,mean,0.7,60.168036101,0.24557610863386498,0.24661296867747573,164,440,782,187,335,345,148
157,11,0.05,,zero,0.3,60.095922255,0.24425219533042714,0.25059123162378316,381,194,335,434,782,145,348
158,11,0.05,,zero,0.5,60.247629078,0.25105138278684214,0.2489446093494495,232,300,559,320,558,255,238
159,11,0.05,,zero,0.7,60.302412331,0.24830274132854546,0.24285177828073648,162,428,782,196,335,353,140
160,11,0.05,,mean,0.3,60.114115391,0.24882245222596192,0.24602918876663998,382,184,335,442,782,149,344
161,11,0.05,,mean,0.5,60.206232667,0.24791771946964222,0.24905720729280473,230,321,559,305,558,239,254
162,11,0.05,,mean,0.7,60.029559018,0.2506557981184947,0.24866536455595056,163,438,782,182,335,339,154
163,11,0.1,,zero,0.3,60.01663324,0.24742420957414363,0.2549930328722616,380,182,335,434,782,145,348
164,11,0.1,,zero,0.5,60.017261607,0.2485647125973197,0.24826629450953244,230,311,559,307,558,241,252
165,11,0.1,,zero,0.7,60.000995958,0.2499831252974685,0.24908648764747085,162,421,782,194,335,351,142
166,11,0.1,,mean,0.3,60.138427042,0.2499861445015842,0.24538226432003388,382,182,335,447,782,148,345
167,11,0.1,,mean,0.5,60.139619951,0.24609407672666134,0.25169496614657405,230,310,559,304,558,239,254
168,11,0.1,,mean,0.7,60.278002758,0.24787960417808164,0.24204477501482569,164,432,782,194,335,347,146
169,11,0.2,,zero,0.3,60.094285071,0.25702571793261086,0.2451329626703733,383,164,335,448,782,158,335
170,11,0.2,,zero,0.5,60.013575385,0.25911587234739253,0.24515938763314857,228,280,559,320,558,254,239
171,11,0.2,,zero,0.7,60.233047299,0.25807404404153456,0.264404331655742,164,377,782,195,335,353,140
172,11,0.2,,mean,0.3,60.025041294,0.2560241442258918,0.2456067383658266,385,175,335,443,782,153,340
173,11,0.2,,mean,0.5,60.027864153,0.25569535027876034,0.24725936413337915,229,289,559,307,558,243,250
174,11,0.2,,mean,0.7,60.356119268,0.25774316205309983,0.25159475225585276,164,407,782,152,335,340,153
175,11,0.3,,zero,0.3,60.055882681,0.2586568465420521,0.24634784255154873,380,174,335,441,782,150,343
176,11,0.3,,zero,0.5,60.226355049,0.24619561706165166,0.24605273706110664,228,318,559,308,558,239,254
177,11,0.3,,zero,0.7,60.360654058,0.2546469794265703,0.2453093589593895,163,409,782,194,335,352,141
178,11,0.3,,mean,0.3,60.037232292,0.2515996014301638,0.259757271886613,387,192,335,433,782,144,349
179,11,0.3,,mean,0.5,60.057658671,0.2577566486064654,0.25463071608757537,231,290,559,254,558,239,254
180,11,0.3,,mean,0.7,60.180576269,0.25855322719240387,0.2522237673828253,163,411,782,149,335,344,149
181,12,0.01,,zero,0.3,60.091798452,0.24769924961859632,0.24537975429019787,350,185,335,442,782,151,342
182,12,0.01,,zero,0.5,60.118142483,0.2469438544514752,0.24536533490169343,212,309,559,318,558,251,242
183,12,0.01,,zero,0.7,60.094725486,0.251751024354508,0.25031566710520275,150,439,782,185,335,343,150
184,12,0.01,,mean,0.3,60.090334742,0.24269010441865785,0.24899944113446024,356,197,335,428,782,139,354
185,12,0.01,,mean,0.5,60.186917534,0.2503053765122328,0.24575829136592234,211,306,559,318,558,253,240
186,12,0.01,,mean,0.7,60.183767076,0.24640327616601052,0.2479502075535863,152,441,782,183,335,341,152
187,12,0.05,,zero,0.3,60.149001068,0.24717618983998355,0.2436474895948917,353,186,335,447,782,150,343
188,12,0.05,,zero,0.5,60.179433865,0.24730918022686105,0.24797578056506192,211,314,559,310,558,245,248
189,12,0.05,,zero,0.7,60.358124548,0.2521051134271189,0.2450361110330634,152,401,782,195,335,353,140
190,12,0.05,,mean,0.3,60.00386067,0.5104467300870384,0.5792827249695117,350,164,335,329,782,164,329
191,12,0.05,,mean,0.5,60.25912631,0.24733354923946815,0.2501680627755982,210,308,559,310,558,244,249
192,12,0.05,,mean,0.7,60.342705921,0.24679596796846714,0.2590350049856176,150,449,782,168,335,326,167
193,12,0.1,,zero,0.3,60.05231718,0.25395071031061806,0.24792142099770023,355,177,335,441,782,152,341
194,12,0.1,,zero,0.5,60.068374699,0.24874688436135903,0.27050447877146405,210,305,559,239,558,253,240
195,12,0.1,,zero,0.7,60.295710956,0.2481882696510512,0.25300511351320343,152,442,782,175,335,333,160
196,12,0.1,,mean,0.3,60.063451804,0.24692260840096564,0.25222579770500725,349,187,335,428,782,138,355
197,12,0.1,,mean,0.5,60.014090969,0.2548495374696981,0.25711610135642643,210,287,559,242,558,251,242
198,12,0.1,,mean,0.7,60.340355295,0.250074102498886,0.26055377303646077,151,427,782,172,335,333,160
199,12,0.2,,zero,0.3,60.025469238,0.25594716459988653,0.2459917722786707,355,188,335,437,782,142,351
200,12,0.2,,zero,0.5,60.18008475,0.2465666874524249,0.24931390014267116,211,317,559,319,558,248,245
201,12,0.2,,zero,0.7,60.081677449,0.2521784299472623,0.25245498891856033,149,421,782,147,335,346,147
202,12,0.2,,mean,0.3,60.138513796,0.255377110430235,0.24837507652519808,351,169,335,438,782,148,345
203,12,0.2,,mean,0.5,60.159523472,0.25420189618724237,0.25055808368594806,211,286,559,251,558,242,251
204,12,0.2,,mean,0.7,60.079532573,0.25777307043269365,0.27818112805954914,149,417,782,179,335,337,156
205,12,0.3,,zero,0.3,60.158249498,0.2503730448071838,0.2581604631598902,356,183,335,439,782,142,351
206,12,0.3,,zero,0.5,60.062296476,0.2526091498452148,0.2894267854909599,211,320,559,296,558,231,262
207,12,0.3,,zero,0.7,60.152645903,0.2623419887542129,0.252888961833098,151,420,782,188,335,342,151
208,12,0.3,,mean,0.3,60.059995846,0.25541267953676805,0.24460092942182762,355,182,335,451,782,161,332
209,12,0.3,,mean,0.5,60.068853087,0.2588986398285972,0.27210480862260283,203,279,559,316,558,244,249
210,12,0.3,,mean,0.7,60.215358832,0.2539731245327205,0.2531693012576322,150,438,782,172,335,330,163
211,13,0.01,,zero,0.3,60.167411635,0.24818459870542575,0.24397560278012306,325,188,335,444,782,148,345
212,13,0.01,,zero,0.5,60.031572715,0.24195572868937454,0.2487064367610458,194,331,559,303,558,232,261
213,13,0.01,,zero,0.7,60.196080885,0.24735925816881515,0.24487156731320958,140,435,782,189,335,347,146
214,13,0.01,,mean,0.3,60.076077507,0.2492527717754947,0.2464562665664312,325,182,335,442,782,153,340
215,13,0.01,,mean,0.5,60.118443914,0.24942724274021044,0.24591761751680374,192,297,559,325,558,260,233
216,13,0.01,,mean,0.7,60.27714698,0.5599786210844534,0.5551063770274278,139,344,782,149,335,344,149
217,13,0.05,,zero,0.3,60.09609281,0.24737039763672397,0.24185752653031917,323,182,335,443,782,154,339
218,13,0.05,,zero,0.5,60.041229225,0.2531396018004301,0.2509340873156046,194,274,559,232,558,261,232
219,13,0.05,,zero,0.7,60.422691348,0.25008002854780165,0.25036336606437043,141,427,782,154,335,339,154
220,13,0.05,,mean,0.3,60.150203889,0.2490430838204049,0.24766716786963225,325,192,335,433,782,143,350
221,13,0.05,,mean,0.5,60.272416532,0.2534712887608187,0.24701692248873797,194,308,559,317,558,252,241
222,13,0.05,,mean,0.7,60.201409798,0.24681170097592942,0.24439694354242752,138,422,782,187,335,344,149
223,13,0.1,,zero,0.3,60.035828544,0.2521341018525993,0.2479750656283816,323,180,335,437,782,147,346
224,13,0.1,,zero,0.5,60.086941486,0.2512222594047372,0.24265120366877793,193,308,559,326,558,260,233
225,13,0.1,,zero,0.7,60.392775185,0.25346223162867826,0.2459978019278601,138,411,782,189,335,346,147
226,13,0.1,,mean,0.3,60.11022012,0.26011723131342995,0.2463667921698108,323,163,335,447,782,157,336
227,13,0.1,,mean,0.5,60.244465339,0.24578771252157625,0.2529115647502568,196,325,559,296,558,230,263
228,13,0.1,,mean,0.7,60.340805564,0.25072388797124534,0.2504912176096729,139,434,782,179,335,336,157
