Configuración,Neuronas ocultas,tasa de aprendizaje,unbalanced data,missing data,split ration,Tiempo de entrenamiento,Error sobre entrenamiento,Error sobre prueba,Numero de iteraciones,Correctos en entrenamiento,Tamaño entrenamiento,Correctos en prueba,Tamaño prueba,positivos en entrenamiento,positivos en prueba
96,9,0.01,adasyn,mean,0.7,60.026076495,0.25016550007173105,0.24984476311091608,287,361,706,156,303,345,148
97,9,0.05,adasyn,zero,0.3,60.038127733,0.2510439484261434,0.25074668706170433,714,146,287,326,668,151,342
98,9,0.05,adasyn,zero,0.5,60.075063925,0.24631826030348503,0.24785193845095638,440,233,478,251,477,242,251
99,9,0.05,adasyn,zero,0.7,60.103705659,0.2492890203802111,0.26774255439288935,311,356,669,128,286,334,159
100,9,0.05,adasyn,mean,0.3,60.000802711,0.25160559668876203,0.2508217678024386,685,142,303,369,706,156,337
101,9,0.05,adasyn,mean,0.5,60.130279577,0.5049342835977809,0.47220887127910094,397,250,505,266,504,255,238
102,9,0.05,adasyn,mean,0.7,60.191399355,0.2509917608686977,0.24708239184543437,292,352,706,161,303,348,145
103,9,0.1,adasyn,zero,0.3,60.048952856,0.2544033415740974,0.24993757780648615,740,142,287,354,668,139,354
104,9,0.1,adasyn,zero,0.5,60.006352144,0.2522410034317723,0.24896294232525476,442,251,478,251,477,242,251
105,9,0.1,adasyn,zero,0.7,60.042100033,0.25379202566215414,0.25230399364523515,311,329,669,142,286,350,143
106,9,0.1,adasyn,mean,0.3,60.030319853,0.25504798901618664,0.25022154130206,697,146,303,346,706,147,346
107,9,0.1,adasyn,mean,0.5,60.003123906,0.25251387073666093,0.25276504493255264,411,272,505,258,504,245,248
108,9,0.1,adasyn,mean,0.7,60.108154213,0.25690930938200657,0.261819190801,291,349,706,149,303,344,149
109,9,0.2,adasyn,zero,0.3,60.061582679,0.25436335351747297,0.25625967340122646,747,148,287,325,668,150,343
110,9,0.2,adasyn,zero,0.5,60.090166784,0.25514728723393176,0.2528448113431596,445,246,478,229,477,243,250
111,9,0.2,adasyn,zero,0.7,60.091635105,0.26012934023587075,0.25386631693581285,314,337,669,143,286,348,145
112,9,0.2,adasyn,mean,0.3,60.079486407,0.2516294701839217,0.2629789191370629,670,164,303,353,706,139,354
113,9,0.2,adasyn,mean,0.5,60.120596729,0.2547403729674791,0.2580105678092118,396,261,505,251,504,238,255
114,9,0.2,adasyn,mean,0.7,60.0588465,0.2582859082405509,0.25052450004708804,290,339,706,152,303,342,151
115,9,0.3,adasyn,zero,0.3,60.044783485,0.26154639154545123,0.2742799528336131,731,127,287,316,668,141,352
116,9,0.3,adasyn,zero,0.5,60.132828571,0.25994701846202994,0.2750991673783909,442,229,478,237,477,251,242
