Configuración,Neuronas ocultas,tasa de aprendizaje,unbalanced data,missing data,split ration,Tiempo de entrenamiento,Error sobre entrenamiento,Error sobre prueba,Numero de iteraciones,Correctos en entrenamiento,Tamaño entrenamiento,Correctos en prueba,Tamaño prueba,positivos en entrenamiento,positivos en prueba
127,10,0.05,,zero,0.3,60.009553049,0.16906108840770465,0.16469396667074004,1115,147,187,346,437,147,346
128,10,0.05,,zero,0.5,60.012522363,0.16454989707608647,0.16863211614245768,664,248,312,245,312,248,245
129,10,0.05,,zero,0.7,60.051734853,0.16177375947889683,0.17733418320634006,473,349,437,144,187,349,144
130,10,0.05,,mean,0.3,60.041313199,0.14586848144955566,0.17654874582172225,1101,154,187,339,437,154,339
131,10,0.05,,mean,0.5,60.030005098,0.16319261929978546,0.168627480692455,664,248,312,245,312,248,245
132,10,0.05,,mean,0.7,60.11212879,0.16182588879912305,0.1779241619698633,468,349,437,144,187,349,144
133,10,0.1,,zero,0.3,60.029406561,0.16287839325261974,0.16804713143560956,1117,149,187,344,437,149,344
134,10,0.1,,zero,0.5,60.071809745,0.18188462275825462,0.15958273246327034,671,239,312,254,312,239,254
135,10,0.1,,zero,0.7,60.0233249,0.15010762994644625,0.21098030132071158,475,357,437,136,187,357,136
136,10,0.1,,mean,0.3,60.015717498,0.17114797024842782,0.16431119110852915,1116,146,187,347,437,146,347
137,10,0.1,,mean,0.5,60.008465225,0.16291272427859688,0.17338562552551479,667,249,312,244,312,249,244
138,10,0.1,,mean,0.7,60.090720848,0.15799223721590236,0.18685306837117321,475,352,437,141,187,352,141
139,10,0.2,,zero,0.3,60.045262331,0.17716372306752953,0.1626209200863508,1113,145,187,348,437,145,348
140,10,0.2,,zero,0.5,60.022944255,0.17803905736643857,0.15896437551078377,667,241,312,252,312,241,252
141,10,0.2,,zero,0.7,60.091835201,0.15986148158987287,0.1913582654713813,470,351,437,141,187,351,142
142,10,0.2,,mean,0.3,60.003585,0.16852848779377688,0.16610444896305923,1121,148,187,345,437,148,345
143,10,0.2,,mean,0.5,60.040313553,0.15829272061054783,0.18010485549666091,665,252,312,239,312,251,242
144,10,0.2,,mean,0.7,60.013402975,0.15996671709977728,0.18858877805338464,471,351,437,142,187,351,142
145,10,0.3,,zero,0.3,60.043976342,0.14838554237968063,0.17448879195376138,1100,154,187,338,437,154,339
146,10,0.3,,zero,0.5,60.060291045,0.1407301178737272,0.20059952963472505,659,260,312,233,312,260,233
147,10,0.3,,zero,0.7,60.122497745,0.1643171375170114,0.1775149717524331,474,349,437,144,187,349,144
148,10,0.3,,mean,0.3,60.027787811,0.19950424822889037,0.15871270709631724,1121,137,187,356,437,137,356
149,10,0.3,,mean,0.5,60.032857436,0.17250157675303082,0.16479225243002224,665,246,312,247,312,246,247
150,10,0.3,,mean,0.7,60.002240355,0.16924844413813103,0.16556410629542354,463,345,437,148,187,345,148
151,11,0.01,,zero,0.3,60.059160312,0.16106299156190249,0.16683012300127906,1015,149,187,344,437,149,344
152,11,0.01,,zero,0.5,60.025549957,0.1630675911287245,0.16964625268985473,602,248,312,244,312,248,245
153,11,0.01,,zero,0.7,60.001125692,0.17424444776916745,0.1477382011374039,426,339,437,154,187,339,154
154,11,0.01,,mean,0.3,60.056753385,0.16688232047034493,0.16621578677428975,1032,147,187,345,437,147,346
155,11,0.01,,mean,0.5,60.049390341,0.16091636171682,0.16957266805139903,606,249,312,244,312,249,244
156,11,0.01,,mean,0.7,60.072352919,0.16793517551251874,0.16506311491594736,431,344,437,148,187,345,148
157,11,0.05,,zero,0.3,60.018420232,0.1387131000127295,0.1801797790372675,1028,156,187,337,437,156,337
158,11,0.05,,zero,0.5,60.096335574,0.17588542031707202,0.1546479502712207,603,241,312,252,312,241,252
159,11,0.05,,zero,0.7,60.004501994,0.16809406429851614,0.16506852973466873,433,344,437,148,187,345,148
160,11,0.05,,mean,0.3,60.030902342,0.14170655749706168,0.17784802317307982,1016,155,187,337,437,155,338
